specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.019677227584954656,0.025014446057741935,-0.029350185781439473,0.06870464095134879,0.43149582637614614,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,23826
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08537120601994597,0.02742918428121408,0.0316109927034542,0.13913141933643774,0.0018555882546560376,16080,1005,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,23826
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022049041154340927,0.025323093738585434,-0.027583310550418273,0.07168139285910013,0.3839131595533971,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,24
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08277104242573756,0.027471314036779725,0.02892825630565965,0.13661382854581547,0.0025867974814626216,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,24
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022056499364356417,0.025417662407611827,-0.027761203525760402,0.07187420225447323,0.3855242532863512,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,244
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08393800947082347,0.027546336316683465,0.029948182384096148,0.1379278365575508,0.00231017070559858,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,244
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02329153609958328,0.02516480953869058,-0.02603058427406027,0.07261365647322683,0.35467479258410095,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2687
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967522,0.027259811303321297,0.030057270399807608,0.13691376715954284,0.0021943334965390804,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,2687
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.019170359036435675,0.025122715984224893,-0.030069259486473852,0.0684099775593452,0.44542240634704,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,27
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0815849978012725,0.027415032789103226,0.02785252089964551,0.13531747470289948,0.002921091963646205,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,27
