specification,outcome,coefficient,estimate,standard_error_player,ci_lower_player,ci_upper_player,p_value_player,standard_error_double_cluster,ci_lower_double_cluster,ci_upper_double_cluster,p_value_double_cluster,effect_sd,percent_of_treated_baseline,baseline_weighted_sd,treated_baseline_mean,n_observations,n_players,n_club_games,within_r_squared,fe_iterations,fe_max_error,p_value_holm_acute_family
external_player_league_position_week_fe,minutes_played,control_is_home,1.028785478559789,0.6032881187502738,-0.15363750649167063,2.2112084636112486,0.08813902843604704,0.48628471896217496,0.07568494316174434,1.9818860139578336,0.03437857454200843,0.029581586038015792,1.6654878450648458,34.7779012672843,61.77081877891058,16240,1015,1568,0.0018081902793736226,12,1.1660006293823244e-11,
external_player_league_position_week_fe,minutes_played,control_days_since_club_game,-0.049546948386881486,0.04317529588653338,-0.13416897334634723,0.03507507657258426,0.25114349833683614,0.027743774942224776,-0.10392374806882684,0.004829851295063879,0.07411929936706319,-0.0014246675785893521,-0.08021093028444283,34.7779012672843,61.77081877891058,16240,1015,1568,0.0018081902793736226,12,1.1660006293823244e-11,
external_player_league_position_week_fe,minutes_played,control_pre_opponent_ppg,1.1418614398641558,0.6235084024855425,-0.08019257306561167,2.3639154527939232,0.06704848015554998,0.5459906310952698,0.07173946702113221,2.2119834127071796,0.036496055438316244,0.032832959961799336,1.8485450936810361,34.7779012672843,61.77081877891058,16240,1015,1568,0.0018081902793736226,12,1.1660006293823244e-11,
sensitivity_differential_linear_trend,minutes_played,treated_x_acute,-1.465437390776992,3.427187290100227,-8.182601047646862,5.251726266092878,0.6689482927135004,3.7958448957087048,-8.90515667726625,5.974281895712266,0.6994495971586545,-0.04213702774973182,-2.372378122462759,34.7779012672843,61.77081877891058,16240,1015,1568,0.002563157168100627,2,6.394884621840902e-14,
sensitivity_differential_linear_trend,minutes_played,treated_x_consolidated,1.916777827723,4.927943168269009,-7.7418132999444635,11.575368955390463,0.6973049778268252,5.432758508473845,-8.731233185589275,12.564788841035277,0.7242244970326368,0.0551148217079482,3.1030474674190573,34.7779012672843,61.77081877891058,16240,1015,1568,0.002563157168100627,2,6.394884621840902e-14,
sensitivity_differential_linear_trend,minutes_played,treated_x_linear_time,0.5088108056770762,0.39637877316365266,-0.26807731395985457,1.2856989253140068,0.19926515877346085,0.44555594621882977,-0.3644628020094953,1.3820844133636476,0.2534671599419873,0.014630290705774025,0.8237074005740576,34.7779012672843,61.77081877891058,16240,1015,1568,0.002563157168100627,2,6.394884621840902e-14,
primary_player_club_game_fe,npxg_xa_per_club_match,treated_x_acute,0.012714989677590454,0.013923471895987704,-0.014574513778301061,0.04000449313348197,0.36113452611015706,0.015433828633360716,-0.01753475858735959,0.04296473794254049,0.41003105439127063,0.04437963051385331,7.946542129062515,0.2865050819569444,0.16000657230631823,15632,977,1568,0.00019386096226436944,2,3.885780586188048e-16,1.0
primary_player_club_game_fe,npxg_xa_per_club_match,treated_x_consolidated,0.012740912892235527,0.013467979921397854,-0.013655842698212848,0.0391376684826839,0.34414086485256856,0.013900787766614577,-0.014504130487064013,0.03998595627153507,0.3593729944458359,0.04447011133348837,7.962743472714479,0.2865050819569444,0.16000657230631823,15632,977,1568,0.00019386096226436944,2,3.885780586188048e-16,
external_player_league_position_week_fe,npxg_xa_per_club_match,treated_x_acute,0.010980242090330687,0.01438584783584673,-0.01721550155500238,0.03917598573566375,0.44530421279411536,0.01453214978155928,-0.017502248099467113,0.03946273228012848,0.44989938523599093,0.03832477251478835,6.862369421494761,0.2865050819569444,0.16000657230631823,15632,977,1568,0.012892911034999788,11,5.283271042877402e-11,
external_player_league_position_week_fe,npxg_xa_per_club_match,treated_x_consolidated,0.013332954034166985,0.013627149085012339,-0.013375767384415144,0.040041675452749115,0.32787103655578376,0.012640257946245102,-0.011441496295769639,0.038107404364103606,0.2915164444440581,0.04653653590748747,8.332753987531362,0.2865050819569444,0.16000657230631823,15632,977,1568,0.012892911034999788,11,5.283271042877402e-11,
external_player_league_position_week_fe,npxg_xa_per_club_match,control_is_home,0.03796509992794693,0.00493118021939449,0.02830016429665741,0.04763003555923645,1.3766765505351941e-14,0.005611120565953997,0.026967505705765095,0.048962694150128765,1.3234968676556491e-11,0.13251108730298988,23.727212814275,0.2865050819569444,0.16000657230631823,15632,977,1568,0.012892911034999788,11,5.283271042877402e-11,
external_player_league_position_week_fe,npxg_xa_per_club_match,control_days_since_club_game,0.0006118749381973918,0.00042805157201814773,-0.00022709072648393073,0.0014508406028787145,0.1528772052091103,0.0005383364066952623,-0.00044324503049202914,0.0016669949068868128,0.2557041584869273,0.0021356512562291778,0.38240612830953724,0.2865050819569444,0.16000657230631823,15632,977,1568,0.012892911034999788,11,5.283271042877402e-11,
external_player_league_position_week_fe,npxg_xa_per_club_match,control_pre_opponent_ppg,-0.03419089099970724,0.004810628336017594,-0.04361954928130957,-0.02476223271810491,1.1828316104356418e-12,0.00535692648500289,-0.044690273978141654,-0.023691508021272834,1.7415469066861533e-10,-0.1193378168588486,-21.368429125681068,0.2865050819569444,0.16000657230631823,15632,977,1568,0.012892911034999788,11,5.283271042877402e-11,
sensitivity_differential_linear_trend,npxg_xa_per_club_match,treated_x_acute,0.016947835405776275,0.020677050440436537,-0.023578438763997393,0.05747410957554994,0.4124186669475265,0.023581438274559843,-0.029270934316015365,0.06316660512756792,0.47232955400613297,0.05915369908978848,10.59196204349104,0.2865050819569444,0.16000657230631823,15632,977,1568,0.00019954928995902232,2,2.220446049250313e-15,
sensitivity_differential_linear_trend,npxg_xa_per_club_match,treated_x_consolidated,0.019392527607955592,0.026967100599544616,-0.03346201833462034,0.07224707355053153,0.4720682139443393,0.03004037298885081,-0.03948552153234185,0.07827057674825302,0.518571585831453,0.06768650480995612,12.119831909673271,0.2865050819569444,0.16000657230631823,15632,977,1568,0.00019954928995902232,2,2.220446049250313e-15,
sensitivity_differential_linear_trend,npxg_xa_per_club_match,treated_x_linear_time,-0.0006046922468836497,0.002392872981861316,-0.005294637110910794,0.004085252617143495,0.8004957704336457,0.0025745562609274064,-0.005650729794473471,0.004441345300706172,0.8143077602614899,-0.0021105812251334586,-0.37791713063262217,0.2865050819569444,0.16000657230631823,15632,977,1568,0.00019954928995902232,2,2.220446049250313e-15,
